AMD,$12.49B
ELP,$2.11B
LKFN,$1.22B
EXD,$95.08M
CLM,$703.81M
IRET^C,n/a
LPLA,$5.48B
HMN,$1.74B
CUBI^D,n/a
AMOV,$62.32B
LGCYO,$43.19M
IAMXW,n/a
AGM^B,n/a
SRUNW,n/a
SNH,$4.18B
FFIV,$8.65B
OSUR,$1.31B
JBLU,$6.57B
CRED,$1.52B
PCRX,$1.63B
MYSZ,$59.38M
CHUBK,$866.34M
ARCI,$7.15M
IPOA.WS,n/a
GLOG^A,n/a
FITBI,$509.58M
JD,$71.91B
RHT,$23.93B
NTES,$44.09B
ETM,$1.56B
REG,$10.82B
DE,$55.44B
INO,$456M
NDAQ,$13.52B
FORR,$802.58M
PPX,n/a
XEC,$11.41B
MS^K,n/a
OSBCP,n/a
RDWR,$872.41M
GD,$67.55B
QYLD,$19.94M
GIL,$7.43B
DLTR,$27.37B
PHG,$39.27B
KNL,$1.16B
NEE,$74.18B
DHR,$72.2B
JBK,n/a
EIX,$20.35B
KTWO,$928.96M
TBK,$801.59M
MOSC.WS,n/a
RXDX,$1.82B
COF^P,n/a
CIK,$173.09M
MSON,$84.76M
FYC,$160.42M
ALP^Q,n/a
AMBR,$204.09M
NE,$1.23B
UHT,$929.97M
MHI,$262.78M
KOP,$971.92M
LTC,$1.62B
ECCY,n/a
AC,$841.41M
HF,$1.89B
AEHR,$58.87M
QUAD,$1.23B
ALTY,n/a
QTM,$220.87M
MTRX,$492.17M
GGZ^A,n/a
BFK,$614.88M
QD,$4.4B
NUROW,n/a
TATT,$92.9M
VBND,$419.25M
AZO,$21.8B
FCAL,$10.14M
CHK^D,n/a
WFC^O,n/a
MIW,$19.81M
SRCLP,n/a
MATW,$1.88B
LEU,$34.8M
NCZ,$475.48M
GGT,$238.43M
TR,$2.24B
SFBS,$2.26B
WAL,$6.27B
CHCI,$5.42M
GJT,n/a
LW,$8.74B
IDLB,$131.1M
PRSC,$875.37M
PDFS,$463.88M
RMR,$2.04B
NBB,$559.14M
EYEGW,n/a
BGS,$2.22B
UBS,$77.73B
IVR^B,n/a
KBAL,$711.7M
EVA,$757.94M
BDC^B,n/a
VGIT,$1.65B
CASS,$714.5M
MON,$53.97B
EVHC,$4.42B
GLF,$829.04M
GERN,$321.65M
CZFC,$61.14M
VVC,$5.15B
GYB,n/a
GMRE^A,n/a
CP,$27.09B
PRE^I,n/a
APVO,$72.21M
GNCMA,$1.54B
KHC,$96.73B
TELL,$2.63B
CHL,$217.04B
IPDN,$16.04M
ORCL,$218.36B
SBS,$7.84B
RCMT,$77.36M
PSA,$33.56B
MX,$433.56M
CAH,$23.59B
MGNX,$830.72M
SBGL,$55.4M
BSTC,$316.69M
SYNT,$1.96B
AHT,$655.81M
DVA,$14.5B
GDI,$7.11B
ANF,$1.51B
SMBC,$329.05M
BCAC,$78.75M
HTM,$103.71M
ATHM,$10.12B
KTOV,$28.58M
PSA^U,n/a
WRE,$2.26B
LMFA,$10.64M
AKAM,$11.44B
CBAY,$510.58M
BTO,$750.47M
CDC,$31.69M
ONDK,$339.46M
ZX,$67.51M
PAG,$4.68B
SES,$27.62M
PGNX,$460.27M
RDUS,$1.73B
ADMA,$178.55M
LBTYK,$29.7B
WLK,$14.74B
CZWI,$77.37M
HOMB,$4.23B
ISSC,$50.69M
ENLC,$3.5B
BDR,$5.52M
NAT,$254.87M
FBHS,$11.09B
HEAR,$24.34M
VIAB,$11.84B
CEY,n/a
PPBI,$1.92B
